Title,Genre,Ratings,Vote_Counts,Runtime
1710 Bunker Hill Avenue,sci-fi,6.0,45,92
2015: Future Uncertain,sci-fi,6.9,18,72
2053 - A Best Case Scenario,sci-fi,6.0,45,92
23 Horas,sci-fi,7.0,21,92
40 Acres,sci-fi,6.9,490,113
404.01,sci-fi,6.0,45,105
43 Degrees North,sci-fi,6.0,45,92
5 More Minutes,sci-fi,6.0,45,92
7 Vidas,sci-fi,6.0,45,80
95B,sci-fi,6.0,45,102
A Blissful Filmmaker Known as Karl Marx,sci-fi,6.0,45,106
A Coffin of Stars,sci-fi,5.2,6,100
A Conceptual Artist Called Karl Marx,sci-fi,6.0,45,79
A Cápsula,sci-fi,7.0,6,92
A Divorce Story,sci-fi,6.0,45,78
A Party for Karl Marx,sci-fi,6.0,45,74
A Quiet Place: Day One,sci-fi,6.3,156,99
A Time Traveler 2492: Apocalypse,sci-fi,6.0,45,92
A Time Traveler 2492: Episode III,sci-fi,6.0,45,92
A-Side: Suburban,sci-fi,6.0,45,92
A.R.C.A,sci-fi,6.0,45,92
AN,sci-fi,7.1,13,92
ARI,sci-fi,6.0,45,92
Abaddon's Pit,sci-fi,5.6,45,93
Abductee,sci-fi,6.0,45,119
Abduction: The Harvesting,sci-fi,5.6,13,92
Aberracja,sci-fi,6.0,45,67
Acceleration Horology,sci-fi,6.0,45,92
Adabana,sci-fi,6.6,10,118
Adam i Eva,sci-fi,5.1,96,95
Addy Daddy,sci-fi,7.4,31,118
Adresi Olmayan Ev,sci-fi,6.2,90,96
Afraid,sci-fi,5.2,15,84
After Link,sci-fi,7.5,20,92
After the Thunderstorm,sci-fi,6.0,45,85
Aftermath,sci-fi,5.2,44,78
Agapouse ta louloudia perissotero,sci-fi,5.3,188,86
Agent Recon,sci-fi,2.4,757,85
Agrinai,sci-fi,7.9,67,93
Aiden,sci-fi,2.5,135,74
"Aire, Just Breathe",sci-fi,4.7,201,98
Alice in Cyberworld,sci-fi,6.0,45,75
Alien AI: Abducted,sci-fi,3.2,77,92
Alien Attack at Groom Lake,sci-fi,6.0,45,71
Alien Country,sci-fi,4.5,409,96
Alien Hunt,sci-fi,3.0,142,80
Alien Love,sci-fi,4.7,64,75
Alien Love: Deleted Scenes,sci-fi,7.1,12,92
Alien Origin,sci-fi,6.0,45,92
Alien Weekend,sci-fi,5.3,172,95
Alien: Romulus,sci-fi,7.1,255,119
Alien: Rubicon,sci-fi,2.5,464,86
Alienoid: The Return to the Future,sci-fi,6.5,28,122
Aliens Uncovered: The Land of Legends,sci-fi,8.3,11,92
Aliens Uncovered: The Thunder God,sci-fi,7.2,11,92
Aliens Uncovered: UFOs Over Arizona,sci-fi,7.3,20,116
Amphibia: Endgame,sci-fi,6.0,45,84
Andromeda 3,sci-fi,3.4,95,92
Andromeda: 1883,sci-fi,4.0,19,75
Angry Birds Star Wars Rebels,sci-fi,6.0,45,120
Another End,sci-fi,6.4,842,119
Anunnakiler,sci-fi,2.5,473,76
Ape X Mecha Ape: New World Order,sci-fi,2.9,149,87
Apocalypse Love,sci-fi,7.0,7,92
Apocalypse Z: The Beginning of the End,sci-fi,6.1,21,117
Aquele que Viu o Abismo,sci-fi,6.0,45,70
Arcadian,sci-fi,5.5,25,92
Arctic Hollow,sci-fi,2.3,184,70
Arena Wars,sci-fi,5.2,27,96
Ascension,sci-fi,3.7,28,97
Asker Zon,sci-fi,6.0,45,109
Astra,sci-fi,6.8,8,80
Astral Plane Drifter,sci-fi,8.7,24,92
Atlas,sci-fi,5.6,57,118
Atrósfera,sci-fi,6.0,45,92
Ayalaan,sci-fi,5.9,4,155
Babezilla vs the Cyber Skanks: Rise of MechaBabezilla,sci-fi,3.6,125,92
Baby Invasion,sci-fi,4.6,589,80
Back to 2005,sci-fi,8.2,48,88
Bade Miyan Chote Miyan,sci-fi,3.8,39,163
Badland Hunters,sci-fi,5.9,13,107
Balestra,sci-fi,5.1,544,145
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,sci-fi,7.5,11,92
Be Forever Yamato: Rebel 3199: Part 2: The Assault of the Burning Sun,sci-fi,6.0,45,97
Behind the Bucket: A Garrison Story,sci-fi,8.1,15,92
Behind the Light,sci-fi,6.0,45,105
Best Cop Ever,sci-fi,4.5,51,122
Between Time and Space: E.S.T.,sci-fi,6.0,45,120
