Title,Genre,Ratings,Vote_Counts,Runtime
#Models Wanted,action,8.5,33,101
'Descontrol',action,6.1,246,101
(Pri)sons,action,5.0,299,100
100 Crores,action,5.5,4100,101
11 Rebels,action,6.3,773,155
12 Gaun,action,6.4,967,147
12 to Midnight,action,3.6,301,96
1980 Lo Radhekrishna,action,8.3,1200,101
200% Wolf,action,5.9,1300,98
2000s: Bad Fellas,action,6.1,246,101
2032: Pako Varissuolta,action,6.1,246,67
24 Hours to D-Day,action,3.6,86,83
3rd Street,action,6.1,246,101
40 Acres,action,7.1,788,113
5 Pounds of Pressure,action,6.6,17,111
6 Hours Away,action,4.0,258,93
7 Melek,action,6.1,246,101
72 Hours,action,4.0,339,87
A Dance of Hopper,action,6.1,246,87
A Hero is Born,action,6.1,246,115
A Legend,action,4.7,1100,129
A Lonely Place to Die,action,6.1,246,101
A Love Story of Assassin,action,6.9,60,85
A Man is Dead,action,6.1,246,101
A New Dawn,action,6.1,246,60
A Real Encounter,action,6.7,9,101
A Reel Heist,action,5.2,58,116
A.R.M,action,7.1,9100,150
AK47,action,7.2,15,146
Aaj Ke Belagam Naujawan,action,6.1,246,101
Aavesham,action,7.8,29000,155
Abigail,action,6.5,101000,109
Abnormal: Buas,action,5.7,28,90
Absolution,action,5.2,9200,112
Abudeka Is Back,action,5.4,44,120
Ace's Wilde III,action,6.1,246,101
Achilles Curse and the Curse of Treasure,action,7.5,26,125
Act of Violence,action,6.1,246,90
Action of Intelligenagency,action,6.7,52,85
Adam Bol,action,6.1,246,101
Aftermath,action,5.1,4400,97
Agastya - Chapter 1,action,6.7,632,168
Agent 86,action,6.7,6,87
Agent Narasimha-117,action,6.1,246,144
Agent Recon,action,2.4,762,85
Agents,action,3.3,953,82
Agni,action,7.2,15000,122
Aho Vikramaarka,action,7.1,68,136
Air Force One Down,action,4.4,3000,84
Ajay Gadu,action,6.7,1600,108
Alangu,action,8.0,1400,131
Alchemy of Solitude,action,6.1,246,101
Alien Country,action,4.5,418,96
Alien: Rubicon,action,2.4,516,86
Alienoid: The Return to the Future,action,6.5,2800,122
All the Lost Ones,action,3.6,274,106
Alligator Blood,action,5.2,1100,101
Alpha.,action,6.9,278,100
Alí Primera,action,6.1,246,101
Amaran,action,8.1,20000,167
Amarjeet Rana,action,6.1,246,101
Ame no naka no yokujô,action,5.9,88,132
Ameena,action,6.3,20,107
American Paradise,action,6.1,246,105
American Warrior,action,8.3,26,89
Amphibia: Endgame,action,6.1,246,84
Anaadha,action,2.3,28,101
Anaconda,action,4.9,682,84
Anchakkallakokkan,action,6.6,1000,126
Ancient Building Town Mausoleum Palace,action,6.8,54,101
Andromeda 2,action,3.2,91,101
Andromeda: 1883,action,3.9,20,75
Angel Vision,action,6.1,246,123
Angels Fallen: Warriors of Peace,action,4.9,6400,103
Angels' Fire,action,6.1,246,101
Anger,action,7.7,18,83
Angry Birds Star Wars Rebels,action,6.1,246,120
Anthima Theerpu,action,7.0,1600,133
Antique Strategy in the Battle of Longbi,action,6.1,246,90
Anunnakiler,action,2.5,473,76
Ape X Mecha Ape: New World Order,action,2.8,152,87
Apocalypse Z: The Beginning of the End,action,6.1,21000,117
Appu,action,8.1,190,92
Appudo Ippudo Eppudo,action,4.7,237,120
April Mayhem,action,6.1,246,101
Aquila,action,6.1,246,101
Arcadian,action,5.5,25000,92
Arena Wars,action,5.5,3200,96
Argylle,action,5.6,95000,139
"Arlempdes, la légende du premier château de la Loire",action,6.8,13,101
Armor,action,3.6,4600,89
Art of Eight Limbs,action,3.9,332,101
Art of War,action,6.1,246,101
Article 370,action,7.8,25000,158
Artist Unknown,action,7.9,21,82
Aserb: The Squadron,action,5.2,335,120
Athhoi,action,7.3,245,158
Atlas,action,5.6,57000,118
Attack Jiajin Mountain,action,6.1,246,96
Attack on Titan the Movie: The Last Attack,action,9.1,18000,145
Atu Nuvve Itu Nuvve,action,6.5,12,123
Atypical Pirate,action,6.1,246,101
Auron Mein Kahan Dum Tha,action,6.4,41000,150
Avengers,action,6.1,246,101
Average Student Nani,action,7.5,2300,138
Axel Falcon,action,6.1,246,91
Ayalaan,action,5.9,4000,155
Azotes de Barrio 2,action,9.8,14,101
Azrael,action,5.4,12000,86
BRCW Cruisin' for A Bruisin' II,action,6.1,246,101
Ba Jie,action,6.1,246,101
Babu,action,7.2,189,142
Baby Assassins: Nice Days,action,7.2,369,103
Baby Invasion,action,4.6,601,80
Baby John,action,5.1,18000,159
Bachhala Malli,action,8.2,4000,140
Back for Life,action,6.1,246,60
Bad Ass Sista,action,6.4,10,80
Bad Boys: Ride or Die,action,6.5,103000,115
Bad Boyz,action,3.1,741,150
Bade Miyan Chote Miyan,action,3.8,40000,163
Badland Hunters,action,5.9,13000,107
Badsha - The King,action,6.1,246,101
Bagheera,action,6.7,7700,158
Bagundi,action,6.1,246,101
Baki Hanma VS Kengan Ashura,action,5.7,2000,62
Ballistic,action,2.2,167,95
Bambara Wasanthe,action,8.8,5,101
Banana Shotgun,action,9.7,6,106
Bandaa Singh Chaudhary,action,6.0,5300,113
Bangkok Breaking: Heaven and Hell,action,5.8,701,146
Bangkok Dog,action,4.8,248,85
Banjo,action,6.1,246,102
Barroz: Guardian of Treasures,action,3.4,1100,155
Bastar: The Naxal Story,action,6.4,3300,124
Batman: The Darkest Knight,action,6.1,246,72
Bato: Road to Death,action,5.4,776,137
Battle Legends: The Legend of Battle Master,action,6.1,246,84
Battle for Glory,action,6.1,246,101
Battling to Survive,action,7.1,54,74
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,action,7.5,11,101
Be Forever Yamato: Rebel 3199: Part 2: The Assault of the Burning Sun,action,6.1,246,97
Beat the Beast,action,6.1,246,74
Behind Enemy Lines,action,6.4,14,101
"Bernadotte, Louise & Napoleon",action,6.1,246,74
Best Cop Ever,action,4.5,51,122
Beverly Hills Cop: Axel F,action,6.4,83000,118
Bhairadevi,action,8.6,53,134
Bhaiyya Ji,action,4.8,7400,150
Bhaje Vaayu Vegam,action,6.1,772,136
Bharkhama,action,4.9,20,101
Bheema,action,5.7,976,148
Bhimaa,action,5.1,1200,141
Bidurbhai,action,9.2,418,148
Big Brother,action,8.5,2000,115
Big City Greens the Movie: Spacecation,action,6.2,592,83
Big Jon,action,6.1,246,101
Big Rage,action,3.6,176,115
Bionic,action,4.3,1800,110
Black Gold,action,6.1,246,77
Black Heat,action,8.1,141,93
Black Money,action,6.1,246,155
Black Storm,action,6.6,73,97
Blade of Fury,action,6.2,142,90
Blessed or Cursed,action,6.1,246,109
Blindspot Jersey Side Pictures,action,6.1,246,75
Blitz,action,6.2,17000,120
Blood Star,action,6.3,6200,97
Blood Vendetta,action,7.7,240,90
Bloodline,action,9.2,50,80
Bloodlust,action,7.8,13,97
Bloods of Glasgow,action,8.2,5,101
Bloody Beggar,action,6.2,4600,134
Bloody Escape: Bats out of Hell,action,5.4,61,100
Blow Out,action,2.7,17,101
Blue Alliance,action,6.1,246,74
Blue Belt,action,2.6,25,101
Blue Falcon,action,6.1,246,101
Bob & Milo,action,6.1,246,101
Bodyguard for Sweetheart,action,6.1,246,127
Bohurupi,action,7.9,1800,155
Boiling Point,action,3.0,23,101
Boiling Point,action,6.1,246,101
Bolero,action,3.0,30,101
Bolice,action,6.1,246,102
Bond of Justice: Kizuna Part I - Encounter,action,5.6,20,92
Bond of Justice: Kizuna Part II - Judgement,action,6.1,246,88
Boneyard,action,4.1,5300,96
Bonnie,action,7.2,46,120
Bonus Trip,action,4.4,235,113
Borderlands,action,4.7,51000,101
Boroni Thwi,action,6.1,246,101
Bougainvillea,action,6.4,3400,138
Boxed in,action,6.1,246,101
Boyz,action,6.1,246,132
Brattt,action,4.6,70,117
Break War,action,2.7,17,86
Breaking Tradition,action,6.5,28,87
Breaking and Re-entering,action,5.8,464,109
Bring Back the Colour,action,6.4,8,101
Brotherhood of Blades 3: The Embroidered Sword,action,4.7,14,101
Brotherhood of Blades Kill Evil,action,9.7,129,84
Brothers,action,5.4,14000,89
Buddy,action,3.8,359,137
Bull Shark 2,action,2.8,219,75
Bullet,action,8.9,569,131
Bulletproof Jesus,action,4.0,14,101
"Bullets, Brothers and Blood",action,7.8,15,85
Bureau 749,action,3.9,587,123
Bush Knife,action,7.0,8,90
Buying Time,action,6.5,506,84
Bélico,action,6.1,246,95
Caceria Implacable: Misión En La Selva,action,6.1,246,90
Cacophony the Animated Movie,action,6.1,246,81
Camp Blood: Clown Shark,action,3.3,96,70
Canary Black,action,5.4,12000,101
Capricorn,action,6.1,246,101
Captain Avispa,action,5.7,181,96
Captain Miller,action,7.2,14000,157
Captain Superb and the Angel of Destiny,action,3.0,14,120
Captain Toad and the Mystery Mine,action,9.2,8,77
Captured,action,8.1,19,101
Carjorski Clan: Tale of the Fallen Knight,action,6.1,246,101
Carry-On,action,6.5,174000,119
Case Files,action,6.1,246,101
Cash Out,action,4.8,3200,92
Cash and Stack: Urban Assassins,action,6.1,246,101
Cassino in Ischia,action,4.4,273,113
Caught in A Trapp,action,6.1,246,90
Cells at Work!,action,6.7,982,109
Cesium Fallout,action,6.3,911,135
Chaari 111,action,4.8,270,130
Champions of the Golden Valley,action,9.2,78,81
Chandu Champion,action,7.8,35000,142
Charles Smith - Koston Kyynel,action,6.1,246,115
Charlotte Link - Ohne Schuld,action,5.5,43,89
Charming Men: Part 2 - Camilla,action,6.1,246,101
Chasing Raine,action,2.3,189,101
Checkmate,action,4.3,400,104
Chhota Bheem and the Curse of Damyaan,action,4.8,2300,145
ChickenMan,action,5.8,7,101
Chief of Station,action,4.7,4900,97
Chinatown Chacha,action,5.1,60,103
Cholay,action,8.8,122,60
Cholo Zombies,action,4.5,107,96
Cicatrici,action,6.1,246,101
Citizen of a Kind,action,6.6,929,114
City Hunter,action,6.3,5800,102
City of Shadows,action,6.1,246,92
Civil War,action,7.0,245000,109
Classified,action,3.7,2900,105
Clone Cops,action,5.8,329,96
Cloud,action,6.3,1700,124
Clownface 3,action,8.2,55,104
Code 8: Part II,action,5.7,16000,100
Codename: Devil,action,5.1,332,104
Combat Code: Hunt,action,7.7,20,76
Come for Me,action,6.1,246,84
Coming to Nigeria,action,6.1,246,101
Common Creed: Trafficking,action,6.6,13,106
Conquer: Lahad Datu,action,6.6,553,120
Continental Split,action,3.5,574,88
Cordélicos,action,6.1,246,68
Correr para Vivir,action,6.9,207,97
Crack: Back in Da Hood,action,8.6,14,101
Crakk: Jeetega... Toh Jiyegaa,action,4.7,6500,154
Crime List,action,6.1,246,101
Crisis Negotiators,action,6.7,757,120
